ville;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Le Chesnay-Rocquencourt;Démocratie Courtoise;democratie-courtoise;Démocratie Courtoise (Citoyens);OUI;34;https://democratiecourtoise.org/;;;;;SITE A VERIFIER
Le Havre;Édouard Philippe;philippe;Le Havre! (Horizons);OUI;34;https://ep2026.fr/;;;@EPhilippe_LH;;SITE A VERIFIER
Le Havre;Jean-Paul Lecoq;lecoq;Mieux vivre ensemble au Havre (Front populaire havrais/PCF);OUI;15;https://jplecoq2026.fr/;;;;jplecoq2026.fr (a verifier);SITE A VERIFIER
Le Havre;Franck Keller;keller;Alliance UDR-RN;NON;4;;;;;;A RECHERCHER
Le Havre;Charlotte Boulogne;boulogne;Le Havre Insoumis! (LFI);NON;0;;;;;;A RECHERCHER
Le Havre;Sophie Zarifian;zarifian;Le Havre en débat (citoyen);OUI;24;https://lhendebat.fr/;;;;lhendebat.fr (a verifier);SITE A VERIFIER
Le Havre;Magali Cauchois;cauchois;Lutte ouvrière – le camp des travailleurs;NON;1;;;;;;A RECHERCHER
Le Mans;Stéphane Le Foll;foll;PS (Parti Socialiste);NON;0;;;;@SLeFoll;recherche web;TWITTER OK
Le Mans;Marietta Karamanli;karamanli;Union de la gauche écologique et citoyenne (EELV/PCF);NON;0;;contact@mariettakaramanli.fr;campagne;@MKaramanli72;recherche web;EMAIL OK
Le Mans;Olivier Sasso;sasso;LR (Les Républicains);NON;0;;;;@olsasso;recherche web;TWITTER OK
Le Mans;Victoria de Vigneral;vigneral;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Le Mans;Benjamin Sainty;sainty;Révolution Permanente;NON;0;;;;;;A RECHERCHER
Le Mans;Pascale Fontenel-Personne;fontenel-personne;Renaissance (Ensemble);NON;0;;;;;;A RECHERCHER
Le Tampon (La Réunion);Patrice Thien-Ah-Koon;thien-ah-koon;Divers droite (accord RN);NON;0;;;;;;A RECHERCHER
Le Tampon (La Réunion);Alexis Chaussalet;chaussalet;LFI, union de la gauche;NON;0;;;;;;A RECHERCHER
Le Tampon (La Réunion);Nathalie Bassire;bassire;Divers droite, L'Alliance des Tamponnais;NON;0;;;;;;A RECHERCHER
Levallois-Perret;Agnès Pottier-Dumas;pottier-dumas;LR (Les Républicains);NON;0;;;;@AgnesPottierD;recherche web;TWITTER OK
Levallois-Perret;Liès Messatfa;messatfa;Renaissance, Levallois d'Avenir;NON;0;;;;@LiesMessatfa;recherche web;TWITTER OK
Levallois-Perret;Baptiste Nouguier;nouguier;DVG, Levallois en commun (PS/Écologistes/Place Publique/PCF);NON;0;;;;;;A RECHERCHER
Lille;Arnaud Deslandes;deslandes;PS;NON;2;;;;;violette2026.fr (à vérifier);A RECHERCHER
Lille;Stéphane Baly;baly;Lille demain (EELV);OUI;21;https://lilledemain.fr/;sbaly@mairie-lille.fr;institutionnel;;lilleverte.fr;EMAIL OK
Lille;Violette Spillebout;spillebout;Renaissance;OUI;21;https://vspillebout.fr/;violette@vspillebout.fr;campagne;;vspillebout.fr;EMAIL OK
Lille;Lahouaria Addouche;addouche;LFI;NON;1;;;;;à vérifier manuellement;A RECHERCHER
Lille;Louis Delemer;delemer;LR;NON;0;;;;;louisdelemer.fr (à vérifier);A RECHERCHER
Lille;Matthieu Valet;valet;RN;NON;2;;matthieu.valet@europarl.europa.eu;institutionnel;;europarl.europa.eu;EMAIL OK
Lille;Pierre Madelain;madelain;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Lille;David Metschies;metschies;Lille Prospère;NON;0;;;;;davidmetschies.fr (à vérifier);A RECHERCHER
Lille;Baptiste Roussel;roussel;Au-delà des partis;NON;0;;;;;baptisteroussel-lille.fr (à vérifier);A RECHERCHER
Limoges;Émile-Roger Lombertie;lombertie;LR (Droite sortante);NON;2;;;;;;A RECHERCHER
Limoges;Guillaume Guérin;guerin;LR dissident (Limoges Métropole);NON;2;;;;;;A RECHERCHER
Limoges;Damien Maudet;maudet;Limoges Front Populaire (LFI-EELV);NON;6;;;;;;A RECHERCHER
Limoges;Thierry Miguel;miguel;Pour Limoges (PS-PCF-Place publique);OUI;38;https://www.pourlimoges.fr/;;;@MiguelThierry2;recherche web;TWITTER OK
Limoges;Vincent Léonie;leonie;Réunir (Centre);OUI;17;https://www.reunir-limoges.fr/;;;@vincentleonie;recherche web;TWITTER OK
Limoges;Albin Freychet;freychet;Limoges en Grand (RN);NON;6;;;;;;A RECHERCHER
Limoges;Julie Benzoni;benzoni;Rêvons Limoges (citoyen);NON;0;;;;;;A RECHERCHER
Limoges;Élisabeth Faucon;faucon;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Lorient;Fabrice Loher;loher;Divers droite / Horizons, Nous Lorientais;NON;0;https://www.nous-lorientais.bzh/;;;@FabriceLoher;recherche web;TWITTER OK
Lorient;Damien Girard;girard;EELV, Lorient en commun;NON;1;https://lorientencommun.fr/;lorientcommun2026@gmail.com;campagne;;lorientencommun.fr;EMAIL OK
Lorient;Gaëlle Le Stradic;stradic;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Lorient;Vincent Le Tertre;tertre;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Lorient;Théo Thomas;thomas;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Lyon;Grégory Doucet;doucet;Pour Vivre Lyon;OUI;13;https://www.pourvivrelyonmunicipales2026.fr/programme;;;@Gregorydoucet;pourvivrelyonmunicipales2026.fr (à vérifier);SITE A VERIFIER
Lyon;Jean-Michel Aulas;aulas;Cœur Lyonnais;OUI;17;https://coeurlyonnais.fr/pacte-lyonnais/;;;@JM_Aulas;coeurlyonnais.fr (à vérifier);SITE A VERIFIER
Lyon;Nathalie Perrin-Gilbert;perrin-gilbert;Lyon en commun;NON;8;;nathalie.perrin-gilbert@mairie-lyon.fr;institutionnel;;lyon.fr;EMAIL OK
Lyon;Georges Képénékian;kepenekian;Lyon Modérément;NON;8;;;;;lyonquellenergie.fr (à vérifier);A RECHERCHER
Lyon;Anaïs Belouassa Cherifi;belouassa;Lyon Fière et Populaire (LFI);NON;10;;;;;;A RECHERCHER
Lyon;Alexandre Dupalais;dupalais;Rassemblement National;NON;3;;;;;;A RECHERCHER
Marseille;Sébastien Delogu;delogu;Marseille Fière et Populaire (LFI);OUI;17;https://sebastiendelogu2026.fr/programme/sommaire/;contact@sebastiendelogu2026.fr;campagne;@sebastiendelogu;sebastiendelogu2026.fr;EMAIL OK
Marseille;Benoît Payan;payan;Printemps Marseillais (PS);OUI;22;https://www.pourmarseille.fr/;bpayan@mairie-marseille.fr;institutionnel;@BenoitPayan;mairie-marseille.fr;EMAIL OK
Marseille;Martine Vassal;vassal;LR / Centre;NON;18;;;;@MartineVassal;à vérifier manuellement;TWITTER OK
Marseille;Franck Allisio;allisio;Rassemblement National;OUI;31;;;;@franckallisio;franckallisio2026.fr (à vérifier);TWITTER OK
Marseille;Erwan Davoux;davoux;Marseille Pour Tous;OUI;39;;;;@erwandavoux;à vérifier manuellement;TWITTER OK
Metz;François Grosdidier;grosdidier;J'aime Metz (DVD);NON;7;;;;;;A RECHERCHER
Metz;Charlotte Leduc;leduc;Metz en commun (LFI);NON;6;;;;@CharlotteLeducV;recherche web;TWITTER OK
Metz;Jérémy Roques;roques;Maintenant pour Metz (EELV/PCF);NON;5;;;;@JereRoques;recherche web;TWITTER OK
Metz;Bertrand Mertz;mertz;PS / Place publique;NON;5;;bertrandmertz2026@gmail.com;campagne;;recherche web;EMAIL OK
Metz;Ludovic Mendes;mendes;Metz Ensemble (Renaissance);NON;4;;ludovic.mendes@assemblee-nationale.fr;institutionnel;@LudovicMDS;recherche web;EMAIL OK
Metz;Étienne Anstett;anstett;RN/UDR;NON;4;;;;;;A RECHERCHER
Metz;Mario Rinaldi;rinaldi;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Metz;Gaël Diaferia;diaferia;NPA-Révolutionnaires;NON;0;;;;;;A RECHERCHER
Montauban;Thierry Deville;deville;LR (Les Républicains);NON;3;;;;;;A RECHERCHER
Montauban;Arnaud Hilion;hilion;PS-EELV, Vivre Montauban;NON;4;;;;;;A RECHERCHER
Montauban;Didier Lallemand;lallemand;UDR-RN;NON;2;;;;;;A RECHERCHER
Montauban;Samir Chikhi;chikhi;LFI-PCF-NPA-Génération.s;NON;2;;;;;;A RECHERCHER
Montauban;Jean-Lou Lévi;levi;Sans étiquette, centre-droit;NON;2;;;;;;A RECHERCHER
Montauban;Jean-Philippe Labarre;labarre;Sans étiquette, Nouveau Montauban;NON;0;;;;;;A RECHERCHER
Montauban;Richard Blanco;blanco;Lutte Ouvrière;NON;2;;;;;;A RECHERCHER
Montpellier;Michaël Delafosse;delafosse;PS (maire sortant);OUI;19;https://www.michaeldelafosse.fr/;contact@michaeldelafosse.fr;campagne;@MDelafosse;recherche web;EMAIL OK
Montpellier;Mohed Altrad;altrad;Divers droite;OUI;17;https://altrad2026.fr/;;;;;SITE A VERIFIER
Montpellier;France Jamet;jamet;RN-UDR;NON;11;https://francejamet.com/;france.jamet@europarl.europa.eu;institutionnel;@FranceJamet;recherche web;EMAIL OK
Montpellier;Nathalie Oziol;oziol;L'union de la gauche de rupture (LFI);OUI;17;https://www.nathalieoziol.fr/;nathalie.oziol@assemblee-nationale.fr;institutionnel;@NathalieOziol;recherche web;EMAIL OK
Montpellier;Jean-Louis Roumegas;roumegas;Le Printemps montpelliérain (EELV);NON;11;https://printemps-montpellierain.fr/;jean-louis.roumegas@assemblee-nationale.fr;institutionnel;@jlroumegas;recherche web;EMAIL OK
Montpellier;Isabelle Perrein;perrein;Aimer Montpellier (LR-UDI-MoDem);OUI;39;https://www.isabelleperrein2026.fr/;contact@isabelleperrein2026.fr;campagne;;isabelleperrein2026.fr/notre-projet (PDF 18p);PROGRAMME INTEGRE
Montpellier;Rémi Gaillard;gaillard;Sans étiquette;NON;4;;;;;;A RECHERCHER
Montpellier;Thierry Tsagalos;tsagalos;Ex-RN (sans investiture);NON;5;;;;;;A RECHERCHER
Montpellier;Max Muller;muller;Révolution permanente;NON;8;;;;;;A RECHERCHER
Montreuil;Patrice Bessac;bessac;PCF-Écologistes-PS-Génération.s-L'Après-NPA;NON;0;;;;@PatriceBessac;recherche web;TWITTER OK
Montreuil;Sayna Shahryari;shahryari;LFI (La France Insoumise);NON;0;;;;@SaynaShahr;recherche web;TWITTER OK
Mulhouse;Michèle Lutz;lutz;Fiers de Mulhouse ! (LR);OUI;40;https://www.michelelutz.fr/;;;@michelelutzh;recherche web;TWITTER OK
Mulhouse;Lara Million;million;Mulhouse ensemble (Centriste et Territoires);NON;12;https://laramillion2026.fr/;;;@million_lara;recherche web;TWITTER OK
Mulhouse;Loïc Minery;minery;Mulhouse en Commun (EELV/PS/PCF/Génération.s/Place publique);NON;1;https://loic-minery2026.fr/;;;@loic_minery;recherche web;TWITTER OK
Mulhouse;Christelle Ritz;ritz;Rassemblement pour Mulhouse (RN);NON;3;https://www.rassemblementpourmulhouse.fr/;;;@christelleritz;recherche web;TWITTER OK
Mulhouse;Emmanuel Taffarelli;taffarelli;Restaurer Mulhouse (Reconquête !);NON;4;https://www.restaurermulhouse.fr/;;;@manutaffarelli;recherche web;TWITTER OK
Mulhouse;Eliot Gafanesch;gafanesch;LFI;NON;1;;;;;;A RECHERCHER
Mulhouse;Annouar Sassi;sassi;Nous sommes Mulhouse (DVG);NON;1;;;;;;A RECHERCHER
Mulhouse;Cécile Sornin;sornin;Mulhouse au cœur (DVD);NON;1;https://www.mulhouseaucoeur.fr/;;;@cecilesornin;recherche web;TWITTER OK
Mulhouse;Bruno Fuchs;fuchs;MoDem;NON;0;;;;;;A RECHERCHER
Mulhouse;Frédéric Marquet;marquet;Mulhouse j'y crois (SE);OUI;39;https://marquet2026.fr/;;;;;SITE A VERIFIER
Mulhouse;Salah Keltoumi;keltoumi;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Mulhouse;Kadhafi Djehaf;djehaf;Kadhafi pour Mulhouse (SE);NON;0;;;;;;A RECHERCHER
Mérignac;Thierry Trijoulet;trijoulet;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Mérignac;Thierry Millet;millet;Droite et centre (union droite-centre-macronistes);NON;0;;;;;;A RECHERCHER
Nancy;Mathieu Klein;klein;Nancy Grandit (PS/EELV/PCF/Place publique/PRG);OUI;42;https://mathieuklein.fr/;maire@nancy.fr;institutionnel;@mathieuklein;recherche web;RÉPONDU
Nancy;Laurent Hénart;henart;Nancy avec vous ! (LR/Horizons/Renaissance);NON;5;https://www.laurenthenart2026.fr/;;;@LaurentHenart;recherche web;TWITTER OK
Nancy;Sarah Farghaly;farghaly;Nancy Insoumise (LFI);NON;2;https://nancy-insoumise.fr/;;;;;SITE A VERIFIER
Nancy;Emmanuel Lacresse;lacresse;Nancy en avant (SE);NON;0;;emmanuel.lacresse@assemblee-nationale.fr;institutionnel;@E_LACRESSE;recherche web;EMAIL OK
Nancy;Christiane Nimsgern;nimsgern;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Nanterre;Raphaël Adam;adam;DVG (PCF/Écologistes/Génération.s), Choisir Nanterre;NON;0;;;;;;A RECHERCHER
Nanterre;Nicolas Huyghe;huyghe;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Nanterre;Hélène Matouk;matouk;LR (Les Républicains);NON;0;;;;@helene_matouk;recherche web;TWITTER OK
Nanterre;Samia Kasmi;kasmi;Génération Écologie (dissidente);NON;0;;;;;;A RECHERCHER
Nantes;Johanna Rolland;rolland;La gauche unie pour Nantes (PS/EELV/PCF);OUI;16;;contact@lagaucheuniepournantes.fr;campagne;@Johanna_Rolland;lagaucheuniepournantes.fr;EMAIL OK
Nantes;Foulques Chombart de Lauwe;chombart;Un nouveau souffle pour Nantes (LR/MoDem/Horizons);OUI;16;https://www.foulqueschombartdelauwe.fr/;;;@Foulques44;foulqueschombartdelauwe.fr (à vérifier);SITE A VERIFIER
Nantes;William Aucant;aucant;Nouvelle Nantes (LFI);NON;3;;;;;;A RECHERCHER
Nantes;Margot Medkour;medkour;Nantes populaire;NON;1;;;;;;A RECHERCHER
Nantes;Mounir Belhamiti;belhamiti;Nantes mérite mieux (Renaissance);NON;1;;contact@nantesmeritemieux.fr;campagne;;nantesmeritemieux.fr;EMAIL OK
Nantes;Jean-Claude Hulot;hulot;Pour une Nantes sûre (RN);NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nantes;Nicolas Bazille;bazille;Lutte Ouvrière;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nantes;Alexandre Gauvin;gauvin;Nantes ouvrière et révolutionnaire (NPA);NON;0;;;;;à vérifier manuellement;A RECHERCHER
Neuilly-sur-Seine;Jean-Christophe Fromantin;fromantin;Divers droite;NON;0;https://www.fromantin2026.fr/;mr.lemaire@ville-neuillysurseine.fr;mairie;@JCFromantin;recherche web;EMAIL OK
Nice;Christian Estrosi;estrosi;Nice au coeur (Horizons);OUI;24;https://estrosi2026.fr/;ecrit.presse@estrosi2026.fr;presse;@cestrosi;estrosi2026.fr;EMAIL OK
Nice;Éric Ciotti;ciotti;Ciotti 2026 (UDR/RN);OUI;22;https://www.ciotti2026.fr/;contact@ciotti2026.fr;campagne;@eciotti;ciotti2026.fr;EMAIL OK
Nice;Juliette Chesnel-Le Roux;chesnel;Unis pour Nice (Écologistes/PS/PCF);OUI;41;;;;;unispournice.fr (à vérifier);A RECHERCHER
Nice;Mireille Damiano;damiano;Nice Front Populaire (LFI/ViVA!);NON;5;;;;;à vérifier manuellement;A RECHERCHER
Nice;Jean-Marc Governatori;governatori;L'écologie au centre;NON;1;;;;;;A RECHERCHER
Nice;Hélène Granouillac;granouillac;Vivre Nice;NON;2;;;;;;A RECHERCHER
Nice;Nathalie Dloussky;dloussky;Ensemble pour la grandeur de la France;NON;1;;ensemblepourlagrandeurdlfrance@gmail.com;campagne;;nicepremium.fr;EMAIL OK
Nice;Cédric Vella;vella;Reconquête;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Niort;Jérôme Baloge;baloge;Parti Radical / Ensemble, Niort tous ensemble;NON;0;;;;@JeromeBaloge;recherche web;TWITTER OK
Niort;Sébastien Mathieu;mathieu;Union de la gauche (LFI/PCF/PS/EELV);NON;0;;;;;;A RECHERCHER
Niort;Céline Bonnet-Derisbourg;bonnet-derisbourg;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Noisy-le-Grand;Brigitte Marsigny;marsigny;LR, Noisy Avenir;NON;0;;;;@B_Marsigny;recherche web;TWITTER OK
Nîmes;Franck Proust;proust;LR-Horizons-UDI-Parti radical;NON;0;;;;;;A RECHERCHER
Nîmes;Julien Sanchez;sanchez;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Nîmes;Julien Plantier;plantier;Nîmes Avenir + Renaissance;NON;0;;;;;;A RECHERCHER
Nîmes;Vincent Bouget;bouget;Union de la gauche (hors LFI), Nîmes en Commun;NON;0;;;;;;A RECHERCHER
Nîmes;Pascal Dupretz;dupretz;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Nîmes;Jean-Marc Philibert;philibert;Liste citoyenne VIVONS Nîmes;NON;0;;;;;;A RECHERCHER
Orléans;Serge Grouard;grouard;Ici, c'est Orléans (DVD);NON;4;;;;@SergeGrouard;recherche web;TWITTER OK
Orléans;Caroline Janvier;janvier;Vivons Orléans (centre);NON;4;;;;@CarolineJanvier;recherche web;TWITTER OK
Orléans;Baptiste Chapuis;chapuis;Rassembler Orléans (PS/PCF/Génération.s/Place publique/PRG);OUI;40;;;;;;A RECHERCHER
Orléans;Jean-Philippe Grand;grand;OSE - Orléans Solidaire et Écologique (EELV);OUI;43;;;;@jphgrand;recherche web;TWITTER OK
Orléans;Valentin Pelé;pele;Orléans en commun (LFI);NON;9;;;;@ValentinPeleFI;recherche web;TWITTER OK
Orléans;Tiffanie Rabault;rabault;Orléans, nouvel élan (RN);NON;2;;;;;;A RECHERCHER
Orléans;Grégory Meyer;meyer;Notre ville plus que jamais vivante (Horizons);NON;1;;;;;;A RECHERCHER
Orléans;Isabelle Lamarque;lamarque;À la reconquête d'Orléans (Reconquête !);NON;0;;;;;;A RECHERCHER
Orléans;Farida Megdoud;megdoud;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Pantin;Bertrand Kern;kern;PS dissident, Pantin au cœur;NON;0;;;;;;A RECHERCHER
Pantin;Mathieu Monot;monot;PS officiel, Osez Pantin;NON;0;;;;@mat_monot;recherche web;TWITTER OK
Pantin;Thomas Bardoux;bardoux;LFI, Faire mieux pour Pantin;NON;0;;;;@BardouxThomas;recherche web;TWITTER OK
Pantin;Geoffrey Carvalhinho;carvalhinho;LR, Pantin en confiance;NON;0;;;;@GeoffreyCarva;recherche web;TWITTER OK
Pantin;Nathalie Arthaud;arthaud;Lutte Ouvrière;NON;0;;contact@lutte-ouvriere.org;parti;@n_arthaud;recherche web;EMAIL OK
Paris;Emmanuel Grégoire;gregoire;Gauche unie (PS-Écologistes);OUI;34;https://emmanuel-gregoire-2026.fr/;emmanuel.gregoire@assemblee-nationale.fr;institutionnel;@egregoire;assemblee-nationale.fr;EMAIL OK
Paris;Rachida Dati;dati;LR - UDI;OUI;43;https://rachidadati2026.com/dossiers_de_presse/dossier-de-presse-programme-rachida-dati/;contact@rachida-dati.com;campagne;@datirachida;rachidadati2026.com;EMAIL OK
Paris;Sophia Chikirou;chikirou;LFI;OUI;22;https://sophiapourparis.fr/;sophia.chikirou@assemblee-nationale.fr;institutionnel;@chikirouparis;assemblee-nationale.fr;EMAIL OK
Paris;Pierre-Yves Bournazel;bournazel;Renaissance/Horizons;OUI;23;https://bournazel.paris/;pierre-yves@bournazel.paris;campagne;@pybournazel;bournazel.paris;EMAIL OK
Paris;Sarah Knafo;knafo;Reconquête;OUI;28;https://unevilleheureuse.fr/;contact@sarahpourparis.fr;campagne;@knafo_sarah;sarahpourparis.fr;EMAIL OK
Paris;Thierry Mariani;mariani;RN - UDR;OUI;37;https://www.mariani-2026.fr/Le-programme;;;@ThierryMARIANI;mariani-2026.fr;PDF INTEGRE
Pau;François Bayrou;bayrou;MoDem;NON;6;;;;@bayrou;recherche web;TWITTER OK
Pau;Jérôme Marbot;marbot;Union de la gauche et écologistes (PS/EELV/PCF);NON;3;;;;;;A RECHERCHER
Pau;Jean-François Blanco;blanco;LFI / Écologiste, Pau Insoumise écologique et citoyenne;NON;0;;;;;;A RECHERCHER
Pau;Margaux Taillefer;taillefer;RN (Rassemblement National);NON;2;;;;;;A RECHERCHER
Pau;Philippe Arraou;arraou;Liste citoyenne, Arraou avec vous;NON;3;;;;;;A RECHERCHER
Pau;Pascal Boniface;boniface;Liste citoyenne;NON;0;;;;;;A RECHERCHER
Pau;Cyrille Marconi;marconi;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Pau;Reynald Cronier;cronier;Debout La France;NON;3;;;;;;A RECHERCHER
Perpignan;Louis Aliot;aliot;Continuons ensemble (RN, sortant);NON;6;;;;@louis_aliot;recherche web;TWITTER OK
Perpignan;Bruno Nougayrède;nougayrede;100% Perpignan (LR-UDI-Horizons-MoDem-Renaissance);NON;8;;;;;;A RECHERCHER
Perpignan;Agnès Langevine;langevine;Perpignan la Catalane (Place Publique-Centre);NON;6;;;;;;A RECHERCHER
Perpignan;Mathias Blanc;blanc;Perpignan Autrement (PS-PCF-PRG);NON;11;;;;;;A RECHERCHER
Perpignan;Mickaël Idrac;idrac;Perpignan, Changez d'air ! (LFI-EELV-G.s);NON;8;;;;;;A RECHERCHER
Perpignan;Clotilde Ripoull;ripoull;Libres (sans étiquette);NON;0;https://www.clotilderipoull.fr/;;;@clotilderipoull;recherche web;TWITTER OK
Pessac;Franck Raynal;raynal;Divers droite / Horizons;NON;4;;;;;;A RECHERCHER
Pessac;Sébastien Saint-Pasteur;saint-pasteur;PS (soutenu par PC/Écologistes/Place publique);NON;6;;;;;;A RECHERCHER
Pessac;Laure Curvale;curvale;EELV (soutenue par LFI/PC/Génération.s);NON;8;;;;;;A RECHERCHER
Pessac;Bérangère Couillard;couillard;Divers centre (ex-Renaissance, liste citoyenne);NON;4;;;;;;A RECHERCHER
Pessac;Philippe Jaouen;jaouen;LFI (La France Insoumise);NON;5;;;;;;A RECHERCHER
Pessac;Isabelle Ufferte;ufferte;NPA (Nouveau Parti Anticapitaliste);NON;3;;;;;;A RECHERCHER
Pessac;David Rybak;rybak;Sans étiquette (liste citoyenne);NON;3;;;;;;A RECHERCHER
Poitiers;Léonore Moncond'huy;moncond-huy;EELV (Écologistes);NON;4;;;;@L_Moncondhuy;recherche web;TWITTER OK
Poitiers;Anthony Brottier;brottier;Sans étiquette, Notre priorité c'est vous;NON;3;;;;;;A RECHERCHER
Poitiers;François Blanchard;blanchard;PS (Parti Socialiste);NON;2;;;;@FraBlanchard;recherche web;TWITTER OK
Poitiers;Abdelmajid Amzil;amzil;Sans étiquette, J'aime Poitiers;NON;5;;;;;;A RECHERCHER
Poitiers;Bertrand Geay;geay;LFI (La France Insoumise);NON;3;;;;;;A RECHERCHER
Poitiers;Ludovic Gaillard;gaillard;Lutte Ouvrière;NON;3;;;;;;A RECHERCHER
Poitiers;Lucile Parnaudeau;parnaudeau;MoDem / centre-droit;NON;5;;;;;;A RECHERCHER
Poitiers;Marie-Dolores Prost;prost;Divers droite;NON;6;;;;;;A RECHERCHER
Poitiers;Charles Rangheard;rangheard;RN (Rassemblement National);NON;6;;;;;;A RECHERCHER
Puteaux;Joëlle Ceccaldi-Raynaud;ceccaldi-raynaud;Puteaux Ensemble (LR);NON;0;;;;;;A RECHERCHER
Puteaux;Abdel-Rahman Talhadjt;talhadjt;La France Insoumise;NON;1;;;;;;A RECHERCHER
Quimper;Isabelle Assih;assih;Divers gauche / PS, Quimper Ensemble;OUI;36;https://www.assih2026.bzh/;isabelle.assih@quimper.bzh;institutionnel;@AssihIsabelle;recherche web;EMAIL OK
Quimper;Guillaume Menguy;menguy;Droite et centre;NON;0;;guillaume.menguy@quimper.bzh;institutionnel;@MenguyFr;recherche web;EMAIL OK
Quimper;Chrystel Hénaff;henaff;RN (Rassemblement National);NON;0;;;;@Christel_Henaff;recherche web;TWITTER OK
Quimper;Marie Lauwers;lauwers;LFI / NPA / Gauche bretonne;NON;0;;;;;;A RECHERCHER
Reims;Arnaud Robinet;robinet;Horizons (soutenu par LR);OUI;29;https://www.arnaudrobinet2026.fr/;;;@ArnaudRobinet;recherche web;TWITTER OK
Reims;Anne-Sophie Frigout;frigout;Rassemblement National;OUI;19;https://frigout2026.fr/;contact@frigout2026.fr;campagne;@asfrigout;recherche web;EMAIL OK
Reims;Éric Quénard;quenard;PS-Écologistes-PCF-Place Publique;NON;4;https://ericquenard.fr/;;;;;SITE A VERIFIER
Reims;Patricia Coradel;coradel;La France Insoumise;NON;3;;;;;;A RECHERCHER
Reims;Stéphane Lang;lang;Les Rémois au cœur (LR dissident);NON;1;;;;@stephanelang51;recherche web;TWITTER OK
Reims;Sébastien Mura;mura;Nous c'est Reims;NON;1;https://www.reims-2026.fr/;;;@sebastienmura;recherche web;TWITTER OK
Reims;Thomas Rose;rose;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Rennes;Nathalie Appéré;appere;Rennes solidaire (PS/EELV/PCF/UDB);OUI;42;https://rennes-solidaire.fr/notre-programme/;n.appere@ville-rennes.fr;institutionnel;;metropole.rennes.fr;RÉPONDU
Rennes;Marie Mesmeur;mesmeur;LFI;NON;2;;fairemieuxpourrennes@gmail.com;campagne;;redirection AN → campagne;ENVOYÉ
Rennes;Charles Compagnon;compagnon;Vivre Rennes ! (Horizons);OUI;35;https://vivre-rennes.fr/;c.compagnon@ville-rennes.fr;institutionnel;;metropole.rennes.fr;EMAIL OK
Rennes;Thomas Rousseau;trousseau;L'espoir rennais (LR);NON;8;;;;;espoir-rennais.fr (à vérifier);A RECHERCHER
Rennes;Julien Masson;masson;RN/UDR;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;Ulysse Rabaté;rabate;Rennes commune (ex-LFI);NON;2;;ulysse.rabate@univ-rennes.fr;universitaire;;arenes.eu;EMAIL OK
Rennes;Sandra Chirazi;chirazi;Lutte Ouvrière;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;Victor Darcissac;darcissac;NPA-Révolutionnaires;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;Erell Duclos;duclos;Révolution permanente;NON;4;;;;;erellduclos.municipales-rp.fr (à vérifier);A RECHERCHER
Rennes;Morgane Pernot-Goarvot;pernot;Parti des travailleurs;NON;0;;;;;;A RECHERCHER
Rennes;Yan Mélan;melan;Équinoxe;NON;4;;;;;;A RECHERCHER
Roubaix;Alexandre Garcin;garcin;Divers droite (majorité sortante);NON;0;;;;@AlexandreGarcin;recherche web;TWITTER OK
Roubaix;David Guiraud;guiraud;LFI (La France Insoumise);OUI;46;https://guiraud2026.fr/;david@guiraud2026.fr;campagne;@GuiraudInd;guiraud2026.fr/programme (PDF 266p, 400 props);PROGRAMME INTEGRE
Roubaix;Mehdi Chalah;chalah;PS, Le Printemps Roubaisien;NON;0;https://www.printempsroubaisien2026.fr/;;;@MehdiChalah;recherche web;TWITTER OK
Roubaix;Karim Amrouni;amrouni;Les Écologistes-PCF-PRG-Place publique;NON;0;;;;;;A RECHERCHER
Roubaix;Céline Sayah;sayah;RN-Debout la France;NON;0;;;;@celinesayah_;recherche web;TWITTER OK
Roubaix;Françoise Delbarre;delbarre;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
